stonk_name,stonk_link
DR Horton,https://www.investing.com/equities/d.r.-horton-inc
SLM,https://www.investing.com/equities/slm-corporation
United Parcel Service,https://www.investing.com/equities/united-parcel
Newell Brands,https://www.investing.com/equities/newell-rubber
Principal Financial,https://www.investing.com/equities/principal-fin
Baxter,https://www.investing.com/equities/baxter-intl
Healthpeak Properties,https://www.investing.com/equities/hcp-inc
Pitney Bowes,https://www.investing.com/equities/pitney-bowes-inc
Intuitive Surgical,https://www.investing.com/equities/intuitive-surgical-inc
DXC Technology,https://www.investing.com/equities/comp-science
FedEx,https://www.investing.com/equities/fedex-corp
Autodesk,https://www.investing.com/equities/autodesk-inc
Xerox,https://www.investing.com/equities/xerox-corp
Edison,https://www.investing.com/equities/edison-intl
ONEOK,https://www.investing.com/equities/oneok
3D Systems,https://www.investing.com/equities/3d-systems-corporation
Curis,https://www.investing.com/equities/curis
Monster Beverage,https://www.investing.com/equities/monster-beverage
Cigna,https://www.investing.com/equities/cigna-corp
Accenture,https://www.investing.com/equities/accenture-ltd
VF,https://www.investing.com/equities/vf-corp
Prudential Financial,https://www.investing.com/equities/prudential-fin
Cadence Design,https://www.investing.com/equities/cadence-design-system-inc
Pan American Silver,https://www.investing.com/equities/pan-american-silver-corp
BioCryst,https://www.investing.com/equities/biocryst-pharmaceuticals
Color Star Technology Co,https://www.investing.com/equities/china-advanced
Intuit,https://www.investing.com/equities/intuit
Lennar,https://www.investing.com/equities/lennar
PACCAR,https://www.investing.com/equities/paccar-inc
Female Health,https://www.investing.com/equities/female-health-com
Campbell Soup,https://www.investing.com/equities/campbell-soup
Archer-Daniels-Midland,https://www.investing.com/equities/archer-daniels-mid
Dollar Tree,https://www.investing.com/equities/dollar-tree-inc
8x8,https://www.investing.com/equities/8x8-inc
Discover,https://www.investing.com/equities/discover-financl
Aeterna Zentaris,https://www.investing.com/equities/aeterna-zentaris-inc?cid=15348
Ingersoll Rand,https://www.investing.com/equities/ingersoll-rand
Cyren,https://www.investing.com/equities/commtouch-software
Hormel Foods,https://www.investing.com/equities/hormel-foods-corp
Norfolk Southern,https://www.investing.com/equities/norfolk-southern
Apartment Invest,https://www.investing.com/equities/apt-inv-manage
Chubb,https://www.investing.com/equities/chubb-corp
Cerner,https://www.investing.com/equities/cerner-corporatio
State Street,https://www.investing.com/equities/state-street
Broadcom,https://www.investing.com/equities/avago-technologies
DTE Energy,https://www.investing.com/equities/dte-energy
Digital Ally,https://www.investing.com/equities/digital-ally
Marsh McLennan,https://www.investing.com/equities/marsh---mclennan
NRG,https://www.investing.com/equities/nrg-energy-inc
Alphabet A,https://www.investing.com/equities/google-inc
Yum! Brands,https://www.investing.com/equities/yum!-brands-inc
Bath Body Works,https://www.investing.com/equities/limited-brands
H&R Block,https://www.investing.com/equities/h---r-block-inc
CBAK Energy,https://www.investing.com/equities/china-bak-battery
UBS Group,https://www.investing.com/equities/ubs-group-n?cid=8132
Stanley Black Decker,https://www.investing.com/equities/stanley-works
NetApp,https://www.investing.com/equities/network-appliance-inc
Site Centers,https://www.investing.com/equities/ddr
Murphy Oil,https://www.investing.com/equities/murphy-oil-corp
Chimera Investment,https://www.investing.com/equities/chimera-investment-corp
Yandex,https://www.investing.com/equities/yandex
Ventas,https://www.investing.com/equities/ventas-inc
Hess,https://www.investing.com/equities/hess-corp
Pioneer Natural,https://www.investing.com/equities/pioneer-natural-resources
Canadian Solar Inc,https://www.investing.com/equities/canadian-solar
Sherwin-Williams,https://www.investing.com/equities/sherwinwilliams
Lincoln National,https://www.investing.com/equities/lincoln-natl
Hartford,https://www.investing.com/equities/hartford-finl
IGT,https://www.investing.com/equities/intl-game-tech
Amicus,https://www.investing.com/equities/amicus-therapeutics
Zimmer Biomet,https://www.investing.com/equities/zimmer-hldgs
Ecolab,https://www.investing.com/equities/ecolab-inc
Cerus,https://www.investing.com/equities/cerus-corp
Allscripts,https://www.investing.com/equities/allscripts-misys-healthcre-solution
Steel Dynamics,https://www.investing.com/equities/steel-dynamics
Ross Stores,https://www.investing.com/equities/ross-stores-inc
Sarepta,https://www.investing.com/equities/sarepta
Ionis Pharma,https://www.investing.com/equities/isis-pharma
Kimberly-Clark,https://www.investing.com/equities/kimberly-clark
Kellogg,https://www.investing.com/equities/kellogg-co.
KB Home,https://www.investing.com/equities/kb-home
Abercrombie&Fitch,https://www.investing.com/equities/aberc-fitch-a
Public Service Enterprise,https://www.investing.com/equities/publ-svc-enter
American Tower,https://www.investing.com/equities/amer-tower-corp
PNC Financial,https://www.investing.com/equities/pnc-fin-serv
Thermo Fisher Scientific,https://www.investing.com/equities/thermo-fisher-sc
Athersys,https://www.investing.com/equities/athersys
Ciena Corp,https://www.investing.com/equities/ciena
Stryker,https://www.investing.com/equities/stryker
Sempra Energy,https://www.investing.com/equities/sempra-energy
CH Robinson,https://www.investing.com/equities/c-h-robinson-worldwide-inc
Teradyne,https://www.investing.com/equities/teradyne-inc
ADP,https://www.investing.com/equities/auto-data-process
Big 5,https://www.investing.com/equities/big-5-sporting-go
Helmerich Payne,https://www.investing.com/equities/helmerich---payne
Eversource Energy,https://www.investing.com/equities/northeast-utilities
Corcept,https://www.investing.com/equities/corcept-therapeutics
CBRE A,https://www.investing.com/equities/cbre
Lockheed Martin,https://www.investing.com/equities/lockheed-martin
Comerica,https://www.investing.com/equities/comerica-inc
Anthem,https://www.investing.com/equities/wellpoint-inc
First Solar,https://www.investing.com/equities/first-solar-inc
Molson Coors Brewing B,https://www.investing.com/equities/molson-coors
PPG Industries,https://www.investing.com/equities/ppg-industries
Grupo Televisa ADR,https://www.investing.com/equities/grupo-televisa-sa-adr
JM Smucker,https://www.investing.com/equities/jm-smucker-co
Teradata,https://www.investing.com/equities/teradata
Nippon ADR,https://www.investing.com/equities/nippon-telegraph
S&P Global,https://www.investing.com/equities/mcgraw-hill
Alphatecs,https://www.investing.com/equities/alphatec-holdings
Fluor,https://www.investing.com/equities/fluor-corp
Darden Restaurants,https://www.investing.com/equities/dardem-rest
Seagen,"https://www.investing.com/equities/seattle-genetics,"
WEC Energy,https://www.investing.com/equities/wisconsin-energy-corp
Newegg Commerce,https://www.investing.com/equities/dehaier-medical-systems
Estee Lauder,https://www.investing.com/equities/estee-lauder
General Dynamics,https://www.investing.com/equities/general-dynam
McKesson,https://www.investing.com/equities/mckesson-corp
Eastman Chemical,https://www.investing.com/equities/eastman-chem
Coca-Cola European,https://www.investing.com/equities/coca-cola-ent
Wipro ADR,https://www.investing.com/equities/wipro
DexCom,https://www.investing.com/equities/dexcom
Iron Mountain,https://www.investing.com/equities/iron-mountain-inc
Wolfspeed,https://www.investing.com/equities/cree-inc.
Equity Residential,https://www.investing.com/equities/eq-resident
Alkermes Plc,https://www.investing.com/equities/alkermes-plc
Quest Diagnostics,https://www.investing.com/equities/quest-diag
Aon,https://www.investing.com/equities/aon-corp
Travelers,https://www.investing.com/equities/the-travelers-co
Deere&Company,https://www.investing.com/equities/deere---co
Agilent Technologies,https://www.investing.com/equities/agilent-tech
Eaton,https://www.investing.com/equities/eaton
HDFC Bank ADR,https://www.investing.com/equities/hdfc-bank
Urban Outfitters,https://www.investing.com/equities/urban-outfitters
Lam Research,https://www.investing.com/equities/lam-research-corp
Charter Communications,https://www.investing.com/equities/charter-communications
T Rowe,https://www.investing.com/equities/t-rowe-price-gp
Take-Two,https://www.investing.com/equities/take-two-interactive
Crocs,https://www.investing.com/equities/crocs
KLA-Tencor,https://www.investing.com/equities/kla-tencor-corp
Biogen,https://www.investing.com/equities/biogen-idec-inc
CME Group,https://www.investing.com/equities/cme-group-inc.
Biomarin Pharma,https://www.investing.com/equities/biomarin-pharmaceuticals
Citrix Systems,https://www.investing.com/equities/citrix-sys-inc
Becton Dickinson,https://www.investing.com/equities/becton-dickinsn
Cytokinetics Inc,https://www.investing.com/equities/cytokinetics
Zions,https://www.investing.com/equities/zions-bancorp
Vornado,https://www.investing.com/equities/vornado-realty
IFF,https://www.investing.com/equities/intl-flav---frag
Cummins,https://www.investing.com/equities/cummins-inc
SSR Mining,https://www.investing.com/equities/silver-standard-resources
RR Donnelley & Sons,"https://www.investing.com/equities/donnelley,-r.r.---sons"
Liberty Global,https://www.investing.com/equities/liberty-global-inc
Paychex,https://www.investing.com/equities/paychex-inc
Ameren,https://www.investing.com/equities/ameren-corp
Clorox,https://www.investing.com/equities/clorox-co
Associated Banc-Corp,https://www.investing.com/equities/associated-banc-corp
CMS Energy,https://www.investing.com/equities/cms-energy-corp
Waste Management,https://www.investing.com/equities/waste-managemnt
AmerisourceBergen,https://www.investing.com/equities/amerisourcebergn
Magna Intl,https://www.investing.com/equities/magna-international
DaVita,https://www.investing.com/equities/davita-inc
Garmin,https://www.investing.com/equities/garmin-ltd
Allegheny Technologies,https://www.investing.com/equities/allegheny-tech
Air Products,https://www.investing.com/equities/air-prods---chem
PerkinElmer,https://www.investing.com/equities/perkinelmer
Hologic,https://www.investing.com/equities/hologic-inc
McCormick&Co,https://www.investing.com/equities/mccormick---co
ACADIA,https://www.investing.com/equities/acadia-pharmaceuticals
The Cheesecake,https://www.investing.com/equities/the-cheesecake-factory
Durect,https://www.investing.com/equities/durect-corp
Expeditors Washington,https://www.investing.com/equities/expeditors-intl-wash-inc
Honda Motor ADR,https://www.investing.com/equities/honda
Illumina,"https://www.investing.com/equities/illumina,-inc."
Amkor,https://www.investing.com/equities/amkor-technology
Rambus,https://www.investing.com/equities/rambus-inc
Extreme,https://www.investing.com/equities/extreme-networks
Robert Half,https://www.investing.com/equities/robert-half-intl
L3Harris Technologies,https://www.investing.com/equities/harris-corporation
Aehr Test Systems,https://www.investing.com/equities/aehr-test-systems
Textron,https://www.investing.com/equities/textron-inc
Harley-Davidson,https://www.investing.com/equities/harley-davidson
AcelRx,https://www.investing.com/equities/acelrx-pharmaceuticals
Essential Utilities,https://www.investing.com/equities/aqua-america-inc.
Akamai,https://www.investing.com/equities/akamai-technologies-inc
Sealed Air,https://www.investing.com/equities/sealed-air
Rockwell Automation,https://www.investing.com/equities/rockwell-automat
Codexis,https://www.investing.com/equities/codexis
Jefferies Financial,https://www.investing.com/equities/leucadia-natl
Allied Healthcare,https://www.investing.com/equities/allied-healthcare
Entegris,https://www.investing.com/equities/entegris-inc.
Arch Resources,https://www.investing.com/equities/arch-coal-inc
Vulcan Materials,https://www.investing.com/equities/vulcan-matrls
Nomura ADR,https://www.investing.com/equities/nomura-holdings
FMC,https://www.investing.com/equities/fmc-corp
Loews,https://www.investing.com/equities/loews-corporation
Tenet Healthcare,https://www.investing.com/equities/tenet-healthcare
Check Point Software,https://www.investing.com/equities/check-point-software-tech-lt
Entergy,https://www.investing.com/equities/entergy-corp
Fortress Biotech,https://www.investing.com/equities/coronado-bioscien
Equifax,https://www.investing.com/equities/equifax-inc
Tupperware Brands,https://www.investing.com/equities/tupperware-brands
Illinois Tool Works,https://www.investing.com/equities/illinois-tool-wk-r
eHealth,https://www.investing.com/equities/ehealth
Mizuho Financial ADR,https://www.investing.com/equities/mizuho
Boston Properties,https://www.investing.com/equities/boston-ppty
BioDelivery Sciences,https://www.investing.com/equities/biodelivery
Catalyst Pharmaceuticals,https://www.investing.com/equities/catalyst-pharmaceuticals
News Corp,https://www.investing.com/equities/news-corporation
M&T Bank,https://www.investing.com/equities/m-t-bank-corp
Constellation Brands A,https://www.investing.com/equities/constellation-a
Nasdaq Inc,https://www.investing.com/equities/nasdaq-omx-group
Cognex,https://www.investing.com/equities/cognex-corp
Alpha & Omega Semiconductor,https://www.investing.com/equities/alpha-and-omega
Columbia Banking,https://www.investing.com/equities/columbia-banking
Hershey Co,https://www.investing.com/equities/hershey-co
Compugen,https://www.investing.com/equities/compugen?cid=15702
AutoNation,https://www.investing.com/equities/autonation-inc
Pinnacle West,https://www.investing.com/equities/pinnacle-west
Yellow,https://www.investing.com/equities/yrc-worldwide
Ralph Lauren A,https://www.investing.com/equities/polo-ralph-laur
Accuray,https://www.investing.com/equities/accuray-incorped
Sharing Economy,https://www.investing.com/equities/cleantech
ENGlobal,https://www.investing.com/equities/englobal-corp
Hope Bancorp,https://www.investing.com/equities/bbcn-bancorp
Henry Schein,https://www.investing.com/equities/henry-schein
Moodys,https://www.investing.com/equities/moodys-corp
Dover,https://www.investing.com/equities/dover-corp
NCR,https://www.investing.com/equities/ncr-corp
Tata Motors ADR,https://www.investing.com/equities/tata-motors
ACI Worldwide,https://www.investing.com/equities/aci-worldwide
Southern Copper,https://www.investing.com/equities/southern-copper-corp.
Jabil Circuit,https://www.investing.com/equities/jabil-circuit
VeriSign,https://www.investing.com/equities/verisign-inc
Destination XL Group,https://www.investing.com/equities/destination-xl
Arena Pharma,https://www.investing.com/equities/arena-pharma
Synovus,https://www.investing.com/equities/synovus-finan
Motorola,https://www.investing.com/equities/motorola-inc
Brown Forman,https://www.investing.com/equities/brown-forman-b
AvalonBay,https://www.investing.com/equities/avalonbay-comm
Sohu.Com,https://www.investing.com/equities/sohu-com-inc
NewYork Times,https://www.investing.com/equities/new-york-times
First Midwest,https://www.investing.com/equities/first-midwest-ban
The Hain Celestial,https://www.investing.com/equities/hain-celestial-group
Axon Enterprise,https://www.investing.com/equities/taser-intl
Sandridge Energy,https://www.investing.com/equities/sandridge-energy
Mullen Automotive,https://www.investing.com/equities/net-element-inc
Delcath Systems,https://www.investing.com/equities/delcath-systems
Northrop Grumman,https://www.investing.com/equities/northrop-grumman
Hasbro,https://www.investing.com/equities/hasbro-inc
Patterson,https://www.investing.com/equities/patterson-companies-inc
China Jo-Jo Drugstores,https://www.investing.com/equities/china-jo-jo-drugs
Green Brick Partners Inc,https://www.investing.com/equities/biofuel-energy
Arrowhead Pharma,https://www.investing.com/equities/arrowhead-research-corp
CarMax,https://www.investing.com/equities/carmax-inc
Euronet,https://www.investing.com/equities/euronet-worldwide
